genus_name common_name height_range_id diameter age_yrs
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7 32.89253935660506
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7 32.89253935660506
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7 32.8952772073922
PRUNUS "KWANZAN FLOWERING CHERRY" 2 13 32.8952772073922
PRUNUS "KWANZAN FLOWERING CHERRY" 3 20 32.8952772073922
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7.75 32.8952772073922
PRUNUS "KWANZAN FLOWERING CHERRY" 3 18.5 32.8952772073922
PRUNUS "KWANZAN FLOWERING CHERRY" 2 13 32.8952772073922
PRUNUS "KWANZAN FLOWERING CHERRY" 2 14 32.8952772073922
PRUNUS "KWANZAN FLOWERING CHERRY" 2 6 32.8952772073922
PRUNUS "KWANZAN FLOWERING CHERRY" 2 10 32.8952772073922
PRUNUS "KWANZAN FLOWERING CHERRY" 3 18 32.878850102669404
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7 32.878850102669404
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7 32.878850102669404
PRUNUS "KWANZAN FLOWERING CHERRY" 3 26 32.98562628336756
PRUNUS "KWANZAN FLOWERING CHERRY" 2 17 32.97467488021903
PRUNUS "KWANZAN FLOWERING CHERRY" 2 11.25 32.97467488021903
PRUNUS "KWANZAN FLOWERING CHERRY" 2 12.5 32.9719370294319
PRUNUS "KWANZAN FLOWERING CHERRY" 2 15.5 32.9719370294319
PRUNUS "KWANZAN FLOWERING CHERRY" 2 10 32.917180013689254
PRUNUS "KWANZAN FLOWERING CHERRY" 2 12 32.917180013689254
PRUNUS "KWANZAN FLOWERING CHERRY" 2 9.5 21.796030116358658
PRUNUS "KWANZAN FLOWERING CHERRY" 2 10 26.642026009582477
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3.5 12.772073921971252
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3.5 12.772073921971252
PRUNUS "KWANZAN FLOWERING CHERRY" 1 6 12.774811772758385
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 12.65160848733744
PRUNUS "KWANZAN FLOWERING CHERRY" 2 10 13.612594113620808
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5.5 12.580424366872005
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3.5 11.980835044490075
PRUNUS "KWANZAN FLOWERING CHERRY" 1 6 12.772073921971252
